stage,trend,yhat
0,21007.87512255754,20682.669538925173
0,21007.698383473216,20679.189604867006
0,21007.521644388897,20675.72185539828
0,21007.344905304573,20672.234713767706
0,21007.168166220254,20668.69933216486
0,21006.99142713593,20665.09007890027
0,21006.814688051607,20661.384950378215
0,21006.637948967287,20657.56589940634
0,21006.461209882968,20653.619073372207
0,21006.284470798644,20649.534957930962
0,21006.10773171432,20645.308424039737
0,21005.930992629997,20640.938678389102
0,21005.754253545678,20636.42911946993
0,21005.577514461358,20631.787103622937
0,21005.400775377035,20627.02362740029
0,21005.224036292715,20622.15293438246
0,21005.04729720839,20617.192056196523
0,21004.87055812407,20612.16029884506
0,21004.69381903975,20607.07868654681
0,21004.517079955425,20601.969376095483
0,21004.340340871106,20596.85505524519
0,21004.163601786782,20591.758338826105
0,21003.98686270246,20586.701176183553
0,21003.81012361814,20581.704283125793
0,21003.63338453382,20576.78661087505
0,21003.456645449496,20571.96486356516
0,21003.279906365173,20567.253074641874
0,21003.10316728085,20562.662251131336
0,21002.92642819653,20558.20009318076
0,21002.74968911221,20553.870794582668
0,21002.572950027887,20549.674928207147
0,21002.396210943567,20545.609418426724
0,21002.219471859244,20541.6676007653
0,21002.04273277492,20537.839367175402
0,21001.8659936906,20534.111393583513
0,21001.689254606277,20530.467444677277
2,21001.512515521958,20526.888749371527
0,21001.335776437634,20523.35443901148
0,21001.15903735331,20519.842039173745
0,21000.98229826899,20516.328004929164
0,21000.80555918467,20512.78828865068
0,21000.628820100348,20509.198928893296
0,21000.452081016025,20505.536648547994
0,21000.2753419317,20501.779450377326
0,21000.09860284738,20497.907198172565
0,20999.921863763062,20493.90217212391
0,20999.74512467874,20489.749587553284
2,20999.56838559442,20485.438066909028
2,20999.391646510096,20480.960055844793
4,20999.214907425772,20476.312175280706
3,20999.038168341453,20471.49550255057
3,20998.86142925713,20466.515776050775
3,20998.68469017281,20461.383519199375
3,20998.507951088486,20456.114080962394
3,20998.331212004163,20450.727591682942
2,20998.154472919843,20445.248834432437
2,20997.977733835523,20439.707033567236
0,20997.8009947512,20434.135563595744
0,20997.624255666877,20428.57158281736
0,20997.447516582553,20423.055597466504
0,20997.270777498234,20417.63096326241
0,20997.094038413914,20412.343332312466
0,20996.91729932959,20407.24005422916
0,20996.74056024527,20402.369541084125
