Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
World,WLD,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,22.3904429192025,21.971810411013,22.3904141095423,21.4907006775343,21.5976097789771,22.7888182265094,..,..,..,..
World,WLD,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,12.7941011567922,11.6106704870588,10.817549047051,10.5860665269462,10.6073757890339,8.11798195829433,..,..,..,..
World,WLD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.81239694698005,4.02104717535715,4.15598584005849,3.78381252779226,3.54783857404975,3.27962577641973,..,..,..,..
World,WLD,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,66.3124589526229,66.9938566578884,66.8235599703248,66.3194432463123,65.633494889228,65.2360389374605,..,..,..,..
World,WLD,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,3.5529953354481,4.09817935762312,4.69546398908471,5.4108072920462,6.00673050633005,6.76560891927057,..,..,..,..
World,WLD,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,765437000000,911584000000,1067911000000,1267134000000,1435701000000,1644540000000,..,..,..,..
World,WLD,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,19.5609975450815,19.9328250152084,20.9015364054271,21.7103458442356,22.4072584526013,22.8544560815979,..,..,..,..
World,WLD,Time required to get electricity (days),IC.ELC.TIME,107.633720930233,105.706896551724,104.314606741573,104.787142857143,99.5042857142857,92.3444623655914,90.5364516129032,88.3808064516129,84.8758288770053,82.5194117647059
Middle East & North Africa (IDA & IBRD countries),TMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,40.0814947326575,40.228632669465,41.2564151302034,41.8114859819428,42.7115490685173,..,..,..,..,..
