Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
South Africa,ZAF,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,0,25435195381.5,116929482061.5,144958641901.3,139789840171.8,141598627952.5,138077504039.7,146040978446.9,180496789079.4,179306413801.8,..,..
South Africa,ZAF,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,9.86836620261002,4.76082546229548,7.8619433062018,10.608075455883,6.61051504455502,8.83214578073931,14.3513623164768,13.4293910799481,19.9299392843026,..,..
South Africa,ZAF,Net migration,SM.POP.NETM,..,..,..,919697,..,..,..,..,727026,..,..,..
South Africa,ZAF,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,135594375.6,324663747.14919,1158421806.40696,1084534306.3063,970655337.203887,913403103.749989,825253479.870489,755434048.949775,873861160.607838,929043381.126846,890059293.728208,..
South Africa,ZAF,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-75722412.1197068,968831355.959091,4139289122.68737,4626029122.40007,8232518815.62083,5791659020.09998,1521139945.30532,2215307020.39541,2058579911.05235,5569462350.15205,4624502603.97868,..
South Africa,ZAF,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,490010009.765625,1396969970.70313,1065829956.05469,1295339965.82031,1077400024.41406,1420270019.53125,1180280029.29688,1014809997.55859,914809997.558594,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/16/2020,,,,,,,,,,,,,,,
