created_at,stage
3/15/2019 23:02:47,0
3/15/2019 8:05:14,2
3/14/2019 23:18:34,0
3/14/2019 15:00:46,2
3/14/2019 11:01:53,1
2/14/2019 22:03:16,0
2/14/2019 8:00:48,2
2/13/2019 21:55:09,0
2/13/2019 8:00:10,3
2/12/2019 22:28:44,0
2/12/2019 8:00:53,3
2/11/2019 23:06:27,0
2/11/2019 13:03:27,4
2/11/2019 9:01:41,2
2/10/2019 22:02:05,0
2/10/2019 13:02:33,2
12/8/2018 21:41:27,0
12/8/2018 10:15:38,1
12/7/2018 21:39:22,0
12/7/2018 9:00:07,1
12/6/2018 20:58:13,0
12/6/2018 20:27:27,1
12/6/2018 9:00:40,2
12/5/2018 21:33:41,0
12/5/2018 20:57:44,1
12/5/2018 9:01:04,2
12/4/2018 21:30:24,0
12/4/2018 21:01:18,1
12/4/2018 9:00:45,2
12/3/2018 21:08:25,0
12/3/2018 20:17:47,1
12/3/2018 9:56:54,2
12/2/2018 20:49:58,0
12/2/2018 20:25:42,1
12/2/2018 8:01:56,2
12/1/2018 21:24:43,0
12/1/2018 20:55:36,1
12/1/2018 16:07:08,2
12/1/2018 9:01:25,1
11/30/2018 21:01:22,0
11/30/2018 9:00:07,2
11/29/2018 21:07:57,0
11/29/2018 12:06:02,1
11/18/2018 20:51:56,0
11/18/2018 12:42:06,1
6/16/2018 21:05:52,0
6/16/2018 17:02:17,2
6/15/2018 19:31:29,0
6/15/2018 11:32:16,1
6/14/2018 20:03:07,0
6/14/2018 17:52:52,1
9/14/2015 21:25:09,0
9/14/2015 19:01:03,1
8/8/2015 21:01:20,0
8/8/2015 16:58:18,1
8/6/2015 21:57:52,0
8/6/2015 16:58:54,2
8/6/2015 12:01:29,0
8/6/2015 6:43:57,1
8/5/2015 22:02:05,0
8/5/2015 17:10:37,2
8/4/2015 21:59:12,0
8/4/2015 17:02:46,2
8/3/2015 21:57:21,0
8/3/2015 17:01:21,2
7/30/2015 22:00:40,0
7/30/2015 17:17:16,1
7/29/2015 22:02:10,0
7/29/2015 16:55:45,1
7/26/2015 21:18:44,0
7/26/2015 8:32:17,2
7/25/2015 21:55:31,0
7/25/2015 8:21:21,2
7/24/2015 22:04:01,0
7/24/2015 16:56:15,2
7/24/2015 11:55:58,1
7/23/2015 22:04:45,0
7/23/2015 17:03:52,2
7/22/2015 22:01:53,0
7/22/2015 17:02:26,1
7/21/2015 22:02:08,0
7/21/2015 17:02:35,2
7/20/2015 22:04:34,0
7/20/2015 17:03:33,1
7/19/2015 22:01:29,0
7/19/2015 8:01:17,2
7/17/2015 5:06:09,0
7/16/2015 17:02:23,1
7/15/2015 22:02:09,0
7/15/2015 17:52:55,2
7/15/2015 8:31:48,1
7/14/2015 22:01:26,0
7/14/2015 17:26:11,1
7/10/2015 13:47:03,0
7/10/2015 8:35:09,1
7/9/2015 22:02:07,0
7/9/2015 17:01:50,1
6/29/2015 22:01:26,0
6/29/2015 17:01:08,1
